Date,Price,Returns
2015-03-16,135.23452758789062,0.013854643385240673
2015-03-17,135.97378540039062,0.005466487188484859
2015-03-18,137.04739379882812,0.007895701331518623
2015-03-19,135.62176513671875,-0.010402450003551778
2015-03-20,135.9649658203125,0.002530572310777579
2015-03-23,134.4777069091797,-0.010938545103584496
2015-03-24,133.4568634033203,-0.007591172762551723
2015-03-25,130.44715881347656,-0.022551890649101458
2015-03-26,130.3943634033203,-0.0004047264090415448
2015-03-27,130.99278259277344,0.004589302588196675
2015-03-30,134.3809051513672,0.025864956003924577
2015-03-31,132.07522583007812,-0.01715778978190341
2015-04-01,130.8079833984375,-0.00959485341536348
2015-04-02,131.3712158203125,0.004305795466316598
2015-04-06,132.82325744628906,0.011052966335963976
2015-04-07,134.04649353027344,0.00920950221747896
2015-04-08,134.96176147460938,0.006827988709225297
